weekDate	variant	week.x	Freq	total	prop	weight	week.y	predicted	std.error	conf.low	conf.high	group	sublineage_grouped	prop.diff	withinInd	projInd
2022-11-11	XBB	NA	NA	NA	NA	NA	148.75	0.005869	0.000797	0.004494	0.007683	1	XBB*	NA	FALSE	FALSE
2022-11-13	BQ.1.1	149	265	1266	0.209321	265	149	0.191008	0.004165	0.183115	0.19923	1	BQ.1.1*	0.018313	TRUE	FALSE
2022-11-13	Other	149	24	1266	0.018957	24	149	0.01516	0.001185	0.013084	0.017534	1	Other	0.003797	TRUE	FALSE
2022-11-13	BA.4.6	149	41	1266	0.032385	41	149	0.042352	0.001984	0.03855	0.046095	1	BA.4.6*	0.009966	TRUE	FALSE
2022-11-13	BA.5.1	149	84	1266	0.066351	84	149	0.08453	0.002758	0.079435	0.089946	1	BA.5.1*	0.018179	TRUE	FALSE
2022-11-13	BA.5.2	149	207	1266	0.163507	207	149	0.157062	0.003537	0.149957	0.164357	1	BA.5.2*	0.006445	TRUE	FALSE
2022-11-13	BA.5.2.1	149	197	1266	0.155608	197	149	0.161675	0.00362	0.154962	0.169004	1	BA.5.2.1*	0.006067	TRUE	FALSE
2022-11-13	BF.7	149	90	1266	0.07109	90	149	0.085742	0.002731	0.080728	0.091532	1	BF.7*	0.014652	TRUE	FALSE
2022-11-13	BQ.1	149	158	1266	0.124803	158	149	0.134473	0.00346	0.127947	0.141227	1	BQ.1*	0.00967	TRUE	FALSE
2022-11-13	BQ.1.2	149	71	1266	0.056082	71	149	0.040243	0.002005	0.036722	0.044338	1	BQ.1.2*	0.015839	TRUE	FALSE
2022-11-13	XBB.1.5	149	0	1266	0	1	149	0.000927	0.000359	0.000415	0.002058	1	XBB.1.5*	0.000927	TRUE	FALSE
2022-11-13	BA.5	149	65	1266	0.051343	65	149	0.04706	0.002059	0.043218	0.051007	1	BA.5*	0.004282	TRUE	FALSE
2022-11-13	BA.2.75	149	60	1266	0.047393	60	149	0.033672	0.001765	0.030545	0.036983	1	BA.2.75*	0.013721	TRUE	FALSE
2022-11-13	XBB	149	4	1266	0.00316	4	149	0.006096	0.00079	0.004717	0.007918	1	XBB*	0.002937	TRUE	FALSE
2022-11-14	BQ.1.1	NA	NA	NA	NA	NA	149.25	0.203954	0.004172	0.195932	0.212208	1	BQ.1.1*	NA	FALSE	FALSE
2022-11-14	Other	NA	NA	NA	NA	NA	149.25	0.015185	0.001171	0.013098	0.01754	1	Other	NA	FALSE	FALSE
2022-11-14	BA.4.6	NA	NA	NA	NA	NA	149.25	0.040204	0.001956	0.036409	0.043905	1	BA.4.6*	NA	FALSE	FALSE
2022-11-14	BA.5.1	NA	NA	NA	NA	NA	149.25	0.079894	0.002719	0.074953	0.085397	1	BA.5.1*	NA	FALSE	FALSE
2022-11-14	BA.5.2	NA	NA	NA	NA	NA	149.25	0.152351	0.003493	0.145332	0.159568	1	BA.5.2*	NA	FALSE	FALSE
